,Name,USN ,Email,Branch,CGPA,Skills,Softskills
1,Riya Sharma,NNM22CS001,nnm22cs001@nmamit.in,CS,7.85,Python,Communication
2,Aditya Singh,NNM22CS002,nnm22cs002@nmamit.in,CS,6.99,Python ,Interpersonal skills
3,Priya Kapoor,NNM22CS003,nnm22cs003@nmamit.in,CS,9.7,PowerBI,Teamwork
4,Rahul Gada,NNM22CS004,nnm22cs004@nmamit.in,CS,9.89,Java,Teamwork
5,Anika Patel,NNM22CS005,nnm22cs005@nmamit.in,CS,5.63,PowerBI,Time management
6,Rohan Desai,NNM22CS006,nnm22cs006@nmamit.in,CS,6.23,Web Dev,Communication
7,Maya Joshi,NNM22CS007,nnm22cs007@nmamit.in,CS,8.87,Excel,Problem-solving
8,Shruti Shah,NNM22CS008,nnm22cs008@nmamit.in,CS,6.4,Java,Interpersonal skills
9,Akash Mehta,NNM22CS009,nnm22cs009@nmamit.in,CS,7.95,Python,Problem-solving
10,Neha Tripathi,NNM22CS010,nnm22cs010@nmamit.in,CS,9.23,Excel,Communication
,,,,,,,
